Year,State,Crop_Type,Area_Hectares,Yield_Tonnes,Yield_per_Hectare,Season,Climate_Zone,Soil_Type,Irrigation_Type,Fertilizer_Usage_kg,Precipitation_mm,Temperature_Celsius,Pest_Infestation_Level,Disease_Incidence,Harvest_Date,Storage_Loss_Percentage,Market_Price_per_Tonne,Total_Revenue
2021,North Dakota,Corn,125000,875000,7.0,Summer,Continental,Loam,Flood Irrigation,285,610,22.3,Low,Low,2021-10-03,1.7,168,147000000
2021,South Dakota,Corn,135000,945000,7.0,Summer,Continental,Loam,Flood Irrigation,280,660,23.8,Low,Low,2021-10-01,1.8,169,159705000
2021,South Dakota,Wheat,88000,352000,4.0,Winter,Continental,Loam,Flood Irrigation,190,410,19.8,Medium,Low,2021-07-17,1.5,242,85184000
2021,Wisconsin,Corn,155000,1085000,7.0,Summer,Continental,Loam,Flood Irrigation,285,760,24.3,Low,Low,2021-10-04,1.9,172,186620000
2021,Wisconsin,Soybeans,125000,375000,3.0,Summer,Continental,Loam,Flood Irrigation,230,730,23.8,Low,Low,2021-10-15,1.6,356,133500000
2021,Michigan,Corn,125000,875000,7.0,Summer,Continental,Clay Loam,Flood Irrigation,275,810,25.3,Medium,Low,2021-09-30,2.0,175,153125000
2021,Michigan,Soybeans,98000,294000,3.0,Summer,Continental,Clay Loam,Flood Irrigation,225,790,24.8,Medium,Low,2021-10-13,1.7,355,104370000
2021,Colorado,Wheat,145000,580000,4.0,Winter,Continental,Sandy,Flood Irrigation,175,310,19.3,Low,Low,2021-07-13,1.3,250,145000000
2021,Colorado,Corn,88000,616000,7.0,Summer,Continental,Sandy,Flood Irrigation,265,510,24.3,Low,Low,2021-09-27,1.8,167,102872000
2021,Oklahoma,Wheat,165000,660000,4.0,Winter,Subtropical,Clay,Flood Irrigation,180,460,20.8,Medium,Medium,2021-06-30,2.1,240,158400000
2021,Oklahoma,Cotton,98000,294000,3.0,Summer,Subtropical,Clay,Flood Irrigation,145,610,29.3,High,High,2021-10-17,2.4,280,82320000
2021,Arkansas,Rice,125000,750000,6.0,Summer,Subtropical,Clay,Flood Irrigation,205,810,28.3,Medium,Medium,2021-09-20,2.7,325,243750000
2021,Arkansas,Soybeans,145000,435000,3.0,Summer,Subtropical,Clay,Flood Irrigation,215,790,27.8,High,Medium,2021-10-10,2.1,347,150945000
2021,Louisiana,Rice,98000,588000,6.0,Summer,Subtropical,Clay,Flood Irrigation,200,860,29.3,High,High,2021-09-15,2.9,330,194040000
2021,Louisiana,Soybeans,115000,345000,3.0,Summer,Subtropical,Clay,Flood Irrigation,210,830,28.8,High,High,2021-10-07,2.3,345,119025000
2021,Mississippi,Soybeans,125000,375000,3.0,Summer,Subtropical,Clay,Flood Irrigation,205,810,28.3,High,Medium,2021-10-13,2.2,342,128250000
2021,Mississippi,Cotton,88000,264000,3.0,Summer,Subtropical,Clay,Flood Irrigation,140,790,29.8,High,High,2021-10-20,2.5,275,72600000
2021,Tennessee,Soybeans,105000,315000,3.0,Summer,Subtropical,Clay Loam,Flood Irrigation,200,760,27.3,Medium,Medium,2021-10-17,2.0,345,108675000
2021,Tennessee,Corn,98000,686000,7.0,Summer,Subtropical,Clay Loam,Flood Irrigation,270,730,26.8,Medium,Low,2021-09-23,2.1,171,117306000
2021,Kentucky,Corn,115000,805000,7.0,Summer,Subtropical,Clay Loam,Flood Irrigation,275,760,26.3,Medium,Low,2021-09-25,1.9,172,138460000
2021,Kentucky,Soybeans,88000,264000,3.0,Summer,Subtropical,Clay Loam,Flood Irrigation,205,730,25.8,Medium,Low,2021-10-15,1.8,350,92400000
